game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
29,2006-01-04,21-005,CLE,MIL,W (+7),45:42,12,29,.414,2,8,.250,6,7,.857,2,9,11,11,5,1,4,32,29.2,+8
30,2006-01-05,21-006,CLE,HOU,L (-9),44:15,13,19,.684,3,7,.429,3,6,.500,1,8,9,5,1,0,3,32,25.7,-10
31,2006-01-07,21-008,CLE,MIL,W (+8),45:12,14,22,.636,3,7,.429,4,9,.444,2,5,7,6,0,1,0,35,30.6,+4
32,2006-01-10,21-011,CLE,NYK,L (-8),46:00,14,31,.452,0,7,.000,8,11,.727,0,7,7,7,0,1,1,36,25.4,-2
33,2006-01-12,21-013,CLE,LAL,L (-1),40:06,11,22,.500,2,3,.667,4,9,.444,0,2,2,9,0,0,5,28,16.1,+5
34,2006-01-14,21-015,CLE,PHO,L (-9),43:45,18,28,.643,5,8,.625,5,5,1.000,0,7,7,8,1,0,1,46,40.9,-5
35,2006-01-15,21-016,CLE,POR,L (-2),41:19,10,26,.385,1,5,.200,8,11,.727,2,11,13,7,1,3,2,29,23.1,+12
36,2006-01-18,21-019,CLE,DEN,L (-1),41:35,7,20,.350,2,6,.333,8,15,.533,2,9,11,9,0,0,2,24,16.4,-3
37,2006-01-20,21-021,CLE,GSW,L (-20),35:12,5,22,.227,0,3,.000,4,6,.667,1,8,9,6,0,0,6,14,-0.1,-9
38,2006-01-21,21-022,CLE,UTA,W (+18),42:47,19,35,.543,4,8,.500,9,11,.818,0,5,5,8,2,0,3,51,37.8,+20
39,2006-01-24,21-025,CLE,IND,W (+30),35:22,7,21,.333,2,5,.400,7,10,.700,0,7,7,8,2,2,1,23,20.0,+33
40,2006-01-25,21-026,CLE,ATL,W (+9),45:54,11,22,.500,1,5,.200,15,20,.750,1,8,9,6,3,1,5,38,30.2,+10
41,2006-01-27,21-028,CLE,IND,W (+4),45:06,12,23,.522,1,2,.500,5,8,.625,1,6,7,9,3,1,6,30,23.6,+4
42,2006-01-29,21-030,CLE,PHO,W (+7),42:45,17,33,.515,3,7,.429,7,12,.583,1,10,11,7,1,1,6,44,29.6,+5
43,2006-01-30,21-031,CLE,CHA,W (+12),31:34,11,19,.579,2,6,.333,6,11,.545,1,5,6,6,5,1,4,30,26.4,+30
44,2006-02-01,21-033,CLE,NJN,W (+6),44:26,8,21,.381,0,2,.000,10,12,.833,0,11,11,10,1,1,4,26,20.9,+5
45,2006-02-02,21-034,CLE,MIA,L (-28),39:18,12,29,.414,2,5,.400,3,3,1.000,1,4,5,7,1,0,1,29,20.3,-15
46,2006-02-04,21-036,CLE,PHI,L (-5),47:11,10,17,.588,2,7,.286,9,10,.900,2,2,4,6,2,1,4,31,27.6,-7
47,2006-02-06,21-038,CLE,MIL,W (+3),45:21,9,20,.450,2,7,.286,2,4,.500,0,9,9,12,0,2,4,22,17.7,-3
48,2006-02-08,21-040,CLE,MIN,W (+6),45:38,11,34,.324,1,5,.200,12,17,.706,1,10,11,8,1,0,0,35,22.7,+10
49,2006-02-10,21-042,CLE,WAS,L (-12),45:23,6,23,.261,0,3,.000,6,8,.750,1,8,9,8,1,0,2,18,10.4,-13
50,2006-02-11,21-043,CLE,GSW,L (-8),43:48,10,17,.588,5,6,.833,8,8,1.000,1,4,5,6,1,2,2,33,29.6,-15
51,2006-02-13,21-045,CLE,SAS,W (+14),40:43,19,33,.576,1,3,.333,5,8,.625,2,1,3,5,4,0,2,44,34.5,+12
52,2006-02-15,21-047,CLE,BOS,W (+4),53:55,16,32,.500,0,5,.000,11,15,.733,1,11,12,11,2,4,2,43,37.9,+5
53,2006-02-21,21-053,CLE,ORL,W (+13),42:51,10,24,.417,1,5,.200,5,7,.714,0,2,2,9,1,2,2,26,19.7,+21
54,2006-02-22,21-054,CLE,PHI,L (-9),43:07,13,24,.542,1,4,.250,6,10,.600,3,3,6,5,2,1,6,33,21.8,-7
55,2006-02-24,21-056,CLE,WAS,L (-8),47:46,7,21,.333,3,8,.375,8,19,.421,0,7,7,9,1,0,4,25,13.3,-8
56,2006-02-26,21-058,CLE,DET,L (-12),37:46,9,20,.450,2,3,.667,2,3,.667,1,8,9,7,0,0,3,22,15.0,-17
57,2006-02-27,21-059,CLE,DET,L (-12),46:34,9,22,.409,0,3,.000,8,10,.800,1,3,4,6,0,1,5,26,14.9,-10
58,2006-03-01,21-061,CLE,SAC,L (-7),44:40,7,21,.333,1,4,.250,4,7,.571,1,6,7,12,1,2,5,19,13.8,-5
59,2006-03-02,21-062,CLE,CHI,W (+1),46:37,11,27,.407,0,3,.000,11,13,.846,2,9,11,8,0,1,5,33,21.5,+4
60,2006-03-05,21-065,CLE,CHI,W (+19),46:27,15,28,.536,1,3,.333,6,6,1.000,0,9,9,7,2,0,3,37,28.8,+23
61,2006-03-07,21-067,CLE,TOR,W (+7),43:44,5,17,.294,2,6,.333,5,6,.833,1,11,12,8,1,0,2,17,14.5,+14
62,2006-03-08,21-068,CLE,TOR,W (+1),44:17,13,24,.542,1,3,.333,8,12,.667,1,5,6,6,1,0,0,35,28.4,-4
63,2006-03-10,21-070,CLE,ORL,L (-29),38:58,9,22,.409,2,6,.333,5,6,.833,2,5,7,2,2,1,5,25,14.8,-18
64,2006-03-12,21-072,CLE,MIA,L (-6),45:17,11,27,.407,1,6,.167,24,28,.857,2,5,7,4,0,1,5,47,31.5,-7
65,2006-03-14,21-074,CLE,DAL,L (-4),44:58,14,27,.519,0,2,.000,8,8,1.000,1,11,12,5,0,2,4,36,27.2,-8
66,2006-03-17,21-077,CLE,POR,W (+15),44:10,9,23,.391,1,6,.167,8,10,.800,2,7,9,5,6,0,1,27,24.9,+14
67,2006-03-19,21-079,CLE,LAL,W (+1),46:52,10,24,.417,3,4,.750,6,10,.600,1,7,8,7,1,0,7,29,15.1,0
68,2006-03-22,21-082,CLE,CHA,W (+2),50:11,10,21,.476,1,5,.200,16,23,.696,0,11,11,12,0,1,5,37,29.3,+5
69,2006-03-24,21-084,CLE,BOS,W (+12),44:51,13,26,.500,4,8,.500,6,8,.750,3,4,7,8,2,3,0,36,34.4,+8
70,2006-03-26,21-086,CLE,HOU,W (+2),48:56,14,34,.412,0,4,.000,8,11,.727,3,3,6,5,2,0,2,36,22.3,+4
71,2006-03-29,21-089,CLE,DAL,W (+13),43:26,16,23,.696,4,7,.571,10,13,.769,0,5,5,4,3,0,2,46,39.2,+16
72,2006-04-01,21-092,CLE,MIA,W (+7),45:29,16,25,.640,2,6,.333,13,14,.929,4,8,12,9,2,0,4,47,43.8,+13
73,2006-04-02,21-093,CLE,CHA,W (+4),41:17,13,24,.542,2,5,.400,7,9,.778,1,11,12,8,1,2,3,35,29.6,+2
74,2006-04-04,21-095,CLE,PHI,W (+33),34:40,13,22,.591,4,10,.400,7,9,.778,1,3,4,7,4,0,3,37,31.9,+15
75,2006-04-05,21-096,CLE,NYK,L (-2),44:48,12,24,.500,4,7,.571,8,14,.571,0,2,2,7,3,0,5,36,23.9,-2
76,2006-04-08,21-099,CLE,NJN,W (+6),44:09,12,26,.462,0,3,.000,13,16,.813,1,4,5,7,1,0,6,37,22.2,+5
77,2006-04-10,21-101,CLE,NOK,W (+2),42:07,12,24,.500,0,3,.000,8,12,.667,1,3,4,6,0,0,2,32,21.8,+3
78,2006-04-12,21-103,CLE,DET,L (-23),31:21,8,18,.444,0,3,.000,6,8,.750,0,3,3,1,0,0,2,22,11.4,-11
79,2006-04-16,21-107,CLE,WAS,L (-12),29:32,8,16,.500,0,0,,1,2,.500,0,5,5,4,1,1,3,17,10.8,-17
1,2006-11-01,21-306,CLE,WAS,W (+3),40:38,11,24,.458,2,4,.500,2,6,.333,3,7,10,5,0,2,5,26,15.3,+3
2,2006-11-03,21-308,CLE,SAS,W (+7),41:53,14,26,.538,1,2,.500,6,11,.545,1,9,10,4,1,1,2,35,25.1,+6
3,2006-11-04,21-309,CLE,CHA,L (-4),38:06,3,13,.231,1,3,.333,9,10,.900,4,5,9,7,0,1,2,16,15.6,-3
4,2006-11-07,21-312,CLE,ATL,L (-9),47:17,13,26,.500,3,8,.375,5,11,.455,0,7,7,6,2,1,2,34,25.2,-3
5,2006-11-09,21-314,CLE,CHI,W (+19),37:50,6,13,.462,0,1,.000,7,8,.875,0,4,4,12,3,2,3,19,22.9,+26
6,2006-11-11,21-316,CLE,BOS,W (+1),43:32,9,17,.529,1,4,.250,19,23,.826,1,7,8,5,3,0,2,38,33.8,+6
7,2006-11-13,21-318,CLE,NYK,W (+6),41:20,10,19,.526,3,4,.750,6,9,.667,0,4,4,6,2,1,3,29,22.8,+10
8,2006-11-15,21-320,CLE,POR,W (+13),38:54,10,15,.667,3,6,.500,9,11,.818,0,7,7,7,2,1,4,32,29.6,+16
9,2006-11-17,21-322,CLE,MIN,W (+16),40:30,12,24,.500,2,5,.400,11,14,.786,2,7,9,6,1,2,4,37,29.5,+12
10,2006-11-18,21-323,CLE,WAS,L (-12),33:20,8,20,.400,0,1,.000,4,5,.800,2,3,5,4,2,0,3,20,12.1,-22
11,2006-11-21,21-326,CLE,MEM,W (+3),41:59,7,21,.333,1,5,.200,0,1,.000,0,1,1,9,3,1,3,15,9.6,+3
12,2006-11-22,21-327,CLE,TOR,L (-8),39:55,11,24,.458,2,7,.286,6,9,.667,0,10,10,8,4,0,2,30,26.6,-7
13,2006-11-24,21-329,CLE,IND,L (-10),42:26,6,14,.429,2,2,1.000,16,20,.800,1,6,7,5,1,0,3,30,22.6,+1
14,2006-11-25,21-330,CLE,PHI,W (+13),40:50,10,20,.500,1,4,.250,4,7,.571,0,4,4,11,0,1,7,25,14.8,+2
15,2006-11-29,21-334,CLE,NYK,L (-3),41:11,10,22,.455,0,5,.000,7,11,.636,1,6,7,6,0,1,5,27,16.0,-4
16,2006-12-01,21-336,CLE,ATL,W (+11),42:55,12,23,.522,1,3,.333,6,10,.600,2,5,7,8,3,2,4,31,25.4,+8
17,2006-12-02,21-337,CLE,HOU,L (-18),35:44,7,22,.318,2,6,.333,5,7,.714,1,4,5,4,0,0,3,21,8.5,-13
18,2006-12-06,21-341,CLE,TOR,W (+4),40:30,11,18,.611,1,2,.500,3,5,.600,1,5,6,10,1,0,4,26,22.8,+2
19,2006-12-09,21-344,CLE,IND,W (+32),31:52,11,16,.688,1,3,.333,4,6,.667,0,7,7,6,1,1,3,27,24.4,+28
20,2006-12-11,21-346,CLE,NOK,L (-6),41:36,7,18,.389,0,3,.000,1,1,1.000,3,4,7,6,4,0,3,15,13.3,-4
21,2006-12-13,21-348,CLE,CHA,W (+3),41:37,6,17,.353,0,2,.000,10,11,.909,1,7,8,7,1,1,6,22,15.1,+3
22,2006-12-15,21-350,CLE,SEA,W (+22),33:37,9,14,.643,2,3,.667,2,3,.667,0,9,9,7,1,0,4,22,18.8,+22
23,2006-12-16,21-351,CLE,ORL,L (-7),41:03,10,19,.526,2,5,.400,7,9,.778,1,4,5,5,0,1,4,29,19.4,-7
24,2006-12-20,21-355,CLE,NJN,L (-2),40:11,10,22,.455,1,3,.333,16,21,.762,0,1,1,8,2,1,3,37,27.6,+8
25,2006-12-21,21-356,CLE,DET,L (-16),43:00,9,20,.450,0,1,.000,8,8,1.000,2,8,10,5,2,0,1,26,23.5,-20
26,2006-12-23,21-358,CLE,ORL,W (+3),42:54,13,21,.619,2,3,.667,4,10,.400,0,7,7,1,0,0,7,32,15.5,+3
27,2006-12-27,21-362,CLE,ATL,W (+13),39:31,10,25,.400,1,2,.500,6,8,.750,1,8,9,3,1,2,1,27,18.9,+23
28,2006-12-29,21-364,CLE,MIL,W (+10),44:01,11,21,.524,2,6,.333,8,13,.615,1,3,4,5,1,1,3,32,21.5,+11
29,2006-12-30,22-000,CLE,CHI,L (-7),40:19,15,26,.577,3,4,.750,0,3,.000,2,7,9,3,1,0,5,33,19.6,+6
30,2007-01-02,22-003,CLE,SAS,W (+4),40:14,7,17,.412,0,1,.000,5,11,.455,0,5,5,5,2,0,3,19,11.1,+6
31,2007-01-03,22-004,CLE,BOS,W (+3),44:47,11,20,.550,2,3,.667,8,10,.800,1,5,6,4,3,1,3,32,27.3,+3
32,2007-01-05,22-006,CLE,MIL,W (+9),42:50,3,13,.231,0,4,.000,2,2,1.000,0,5,5,9,1,0,2,8,6.5,+9
33,2007-01-06,22-007,CLE,NJN,W (+5),44:00,9,21,.429,1,3,.333,0,0,,0,13,13,4,3,3,5,19,13.1,+4
34,2007-01-09,22-010,CLE,SAC,W (+10),43:25,14,26,.538,3,7,.429,3,3,1.000,1,3,4,7,2,1,3,34,26.4,+13
35,2007-01-11,22-012,CLE,PHO,L (-19),38:49,15,28,.536,3,9,.333,1,2,.500,2,4,6,6,1,0,5,34,22.0,-20
36,2007-01-13,22-014,CLE,LAC,W (+12),42:02,10,23,.435,0,1,.000,8,8,1.000,1,5,6,6,1,0,2,28,19.7,+14
37,2007-01-16,22-017,CLE,SEA,L (-5),43:34,8,21,.381,1,7,.143,13,15,.867,1,6,7,8,2,1,4,30,24.5,-7
38,2007-01-17,22-018,CLE,POR,L (-18),35:07,8,21,.381,1,4,.250,6,13,.462,3,3,6,2,1,0,4,23,10.1,-24
39,2007-01-19,22-020,CLE,DEN,L (-11),43:52,9,23,.391,0,1,.000,12,14,.857,2,8,10,10,2,0,3,30,25.7,-3
40,2007-01-20,22-021,CLE,GSW,W (+2),45:52,14,22,.636,2,7,.286,2,5,.400,0,7,7,5,4,0,9,32,20.8,+5
41,2007-01-22,22-023,CLE,ORL,L (-11),43:23,6,15,.400,0,3,.000,6,13,.462,0,4,4,5,3,0,2,18,12.0,-2
42,2007-01-24,22-025,CLE,PHI,L (-3),53:10,14,26,.538,3,8,.375,8,13,.615,2,8,10,5,1,0,4,39,27.9,-8
43,2007-01-28,22-029,CLE,PHO,L (-15),42:04,12,22,.545,3,6,.500,3,6,.500,2,7,9,5,2,0,3,30,23.4,-8
44,2007-02-01,22-033,CLE,MIA,L (-3),35:35,6,18,.333,2,7,.286,3,8,.375,1,5,6,9,1,0,2,17,10.7,-12
45,2007-02-02,22-034,CLE,CHA,W (+20),35:39,7,13,.538,0,1,.000,4,8,.500,1,9,10,3,2,0,1,18,16.2,+17
46,2007-02-04,22-036,CLE,DET,L (-12),43:17,9,22,.409,1,4,.250,2,3,.667,0,5,5,6,2,0,3,21,12.7,-12
47,2007-02-07,22-039,CLE,LAC,W (+17),36:19,4,13,.308,1,2,.500,2,2,1.000,0,7,7,3,1,1,2,11,7.0,+15
48,2007-02-09,22-041,CLE,MIA,W (+24),41:08,12,22,.545,1,4,.250,4,8,.500,1,6,7,6,0,0,2,29,21.1,+22
49,2007-02-11,22-043,CLE,LAL,W (+9),38:21,5,16,.313,0,2,.000,8,12,.667,1,7,8,5,1,1,1,18,13.0,+3
50,2007-02-14,22-046,CLE,UTA,L (-1),42:39,9,25,.360,0,3,.000,5,9,.556,3,7,10,4,1,3,0,23,16.8,+10
51,2007-02-15,22-047,CLE,LAL,W (+6),39:48,10,16,.625,0,1,.000,18,22,.818,0,4,4,3,3,0,3,38,30.9,+4
52,2007-02-21,22-053,CLE,TOR,W (+1),36:49,12,25,.480,0,1,.000,5,5,1.000,0,4,4,2,1,1,3,29,16.4,+5
53,2007-02-22,22-054,CLE,CHI,L (-6),42:58,13,28,.464,1,4,.250,2,8,.250,3,4,7,2,3,0,3,29,16.5,+3
54,2007-02-25,22-057,CLE,MIA,L (-5),41:30,10,22,.455,2,5,.400,7,12,.583,0,3,3,7,0,1,2,29,19.3,+6
55,2007-02-27,22-059,CLE,NOK,W (+8),42:50,14,22,.636,3,4,.750,4,7,.571,1,4,5,8,2,1,4,35,29.8,+16
56,2007-03-01,22-061,CLE,DAL,L (-3),39:58,17,27,.630,1,4,.250,4,8,.500,0,3,3,5,0,0,2,39,26.9,-2
57,2007-03-03,22-063,CLE,TOR,W (+23),37:22,10,20,.500,1,3,.333,15,17,.882,2,3,5,6,0,3,2,36,31.4,+23
58,2007-03-05,22-065,CLE,HOU,W (+6),41:38,12,24,.500,3,6,.500,5,9,.556,1,11,12,8,0,0,3,32,24.2,-1
59,2007-03-07,22-067,CLE,DET,W (+4),50:40,17,31,.548,1,3,.333,6,8,.750,2,5,7,8,3,1,4,41,31.9,+8
60,2007-03-10,22-070,CLE,MIL,W (+2),36:30,12,22,.545,4,6,.667,4,4,1.000,0,8,8,9,3,1,6,32,25.8,+15
61,2007-03-11,22-071,CLE,IND,W (+11),38:42,10,22,.455,2,6,.333,4,5,.800,3,4,7,6,3,1,2,26,22.6,+23
62,2007-03-14,22-074,CLE,MEM,W (+22),29:35,11,17,.647,4,7,.571,3,6,.500,1,5,6,4,3,0,2,29,26.3,+35
63,2007-03-17,22-077,CLE,UTA,W (+9),43:40,8,21,.381,0,6,.000,8,13,.615,2,15,17,9,2,2,4,24,20.9,+7
64,2007-03-20,22-080,CLE,CHA,L (-8),46:33,12,31,.387,2,9,.222,11,12,.917,2,4,6,6,1,3,3,37,25.0,-5
65,2007-03-21,22-081,CLE,DAL,L (-8),45:27,12,28,.429,1,6,.167,6,7,.857,0,6,6,4,2,3,6,31,17.3,-6
66,2007-03-23,22-083,CLE,NYK,W (+22),38:16,8,16,.500,0,1,.000,5,6,.833,1,2,3,10,2,0,1,21,21.5,+19
67,2007-03-25,22-085,CLE,DEN,L (-12),40:49,8,19,.421,1,6,.167,1,1,1.000,0,3,3,8,1,0,5,18,8.8,-13
68,2007-03-27,22-087,CLE,IND,W (+11),40:08,8,18,.444,0,3,.000,10,14,.714,1,6,7,6,2,0,3,26,19.1,+11
69,2007-03-28,22-088,CLE,NYK,L (-4),43:55,6,20,.300,2,5,.400,10,14,.714,1,5,6,7,2,0,3,24,15.7,+3
70,2007-03-31,22-091,CLE,CHI,W (+4),47:24,14,25,.560,0,3,.000,11,13,.846,1,4,5,9,3,0,7,39,28.9,+4
71,2007-04-03,22-094,CLE,MIN,W (+13),41:49,13,24,.542,0,2,.000,5,5,1.000,2,10,12,6,4,1,2,31,30.3,+21
72,2007-04-05,22-096,CLE,MIA,L (-4),48:36,11,21,.524,2,5,.400,11,13,.846,2,7,9,5,0,0,4,35,25.3,+3
73,2007-04-06,22-097,CLE,WAS,W (+5),44:25,7,23,.304,0,3,.000,11,14,.786,0,6,6,5,1,1,2,25,14.3,+5
74,2007-04-08,22-099,CLE,DET,L (-5),43:06,5,16,.313,1,4,.250,9,11,.818,1,4,5,6,1,0,5,20,11.3,-11
75,2007-04-12,22-103,CLE,NJN,W (+18),35:15,15,27,.556,0,1,.000,5,9,.556,3,5,8,4,2,1,2,35,27.2,+21
76,2007-04-14,22-105,CLE,ATL,W (+34),31:57,8,16,.500,3,6,.500,4,5,.800,1,4,5,6,1,1,0,23,22.0,+25
77,2007-04-17,22-108,CLE,PHI,W (+6),36:03,7,15,.467,0,2,.000,4,7,.571,1,4,5,6,0,0,1,18,13.0,-4
78,2007-04-18,22-109,CLE,MIL,W (+13),39:58,9,18,.500,1,4,.250,5,10,.500,0,5,5,9,2,0,2,24,20.0,+22
1,2007-10-31,22-305,CLE,DAL,L (-18),36:09,2,11,.182,0,2,.000,6,10,.600,1,4,5,4,1,0,5,10,0.6,-12
2,2007-11-02,22-307,CLE,NYK,W (+4),44:25,13,28,.464,3,5,.600,16,22,.727,3,4,7,7,3,1,3,45,36.7,+4
3,2007-11-04,22-309,CLE,PHO,L (-11),43:13,11,26,.423,3,5,.600,2,2,1.000,1,4,5,8,2,4,3,27,22.5,-18
4,2007-11-06,22-311,CLE,GSW,W (+4),41:51,9,16,.563,1,2,.500,5,7,.714,1,12,13,9,0,3,2,24,25.9,+4
5,2007-11-07,22-312,CLE,UTA,L (-2),40:45,12,27,.444,1,4,.250,7,15,.467,2,13,15,13,3,2,4,32,27.9,+4
6,2007-11-09,22-314,CLE,SAC,W (+2),43:51,10,19,.526,0,2,.000,6,8,.750,0,4,4,4,1,1,1,26,20.2,-1
7,2007-11-11,22-316,CLE,LAC,W (+8),35:55,9,21,.429,0,2,.000,4,8,.500,1,4,5,8,6,1,5,22,17.3,+11
8,2007-11-12,22-317,CLE,DEN,L (-22),33:47,9,16,.563,1,3,.333,8,14,.571,0,1,1,4,2,0,4,27,16.9,-13
9,2007-11-14,22-319,CLE,ORL,L (-1),47:14,15,27,.556,2,4,.500,7,9,.778,4,9,13,14,0,2,4,39,37.6,+2
10,2007-11-16,22-321,CLE,UTA,W (+5),40:16,13,27,.481,1,3,.333,13,15,.867,2,8,10,9,0,3,5,40,31.5,+13
11,2007-11-20,22-325,CLE,MIL,L (-4),44:06,11,22,.500,1,7,.143,11,12,.917,0,7,7,7,1,1,3,34,26.7,-2
12,2007-11-21,22-326,CLE,MIN,W (+11),39:03,17,26,.654,6,10,.600,5,8,.625,2,6,8,5,3,2,3,45,39.7,+14
13,2007-11-24,22-329,CLE,TOR,W (+3),44:41,14,29,.483,2,8,.250,7,8,.875,3,9,12,12,3,1,4,37,33.6,+7
14,2007-11-25,22-330,CLE,IND,W (+5),35:47,10,21,.476,1,6,.167,9,15,.600,3,8,11,10,4,1,2,30,30.7,+9
15,2007-11-27,22-332,CLE,BOS,W (+5),45:46,11,25,.440,2,8,.250,14,15,.933,0,4,4,13,2,2,3,38,34.4,+14
16,2007-11-28,22-333,CLE,DET,L (-35),19:31,5,11,.455,0,2,.000,5,9,.556,0,1,1,3,0,0,0,15,9.7,-2
17,2007-12-11,22-346,CLE,IND,W (+13),22:37,5,9,.556,0,1,.000,7,10,.700,1,2,3,5,1,1,4,17,13.2,+27
18,2007-12-14,22-349,CLE,NJN,L (-8),41:09,12,25,.480,3,9,.333,2,3,.667,0,6,6,8,2,0,6,29,18.1,+6
19,2007-12-15,22-350,CLE,PHI,L (-6),41:46,10,18,.556,0,1,.000,1,1,1.000,0,6,6,6,0,1,3,21,15.7,+5
20,2007-12-17,22-352,CLE,MIL,W (+5),50:13,10,25,.400,0,5,.000,11,13,.846,1,7,8,5,1,0,2,31,20.8,+6
21,2007-12-19,22-354,CLE,NYK,L (-18),36:52,12,21,.571,3,6,.500,5,6,.833,1,7,8,6,6,0,4,32,30.3,-9
22,2007-12-20,22-355,CLE,LAL,W (+4),38:28,12,29,.414,0,3,.000,9,11,.818,4,6,10,5,1,1,3,33,22.3,-7
23,2007-12-23,22-358,CLE,GSW,L (-9),40:51,8,20,.400,0,2,.000,9,13,.692,2,3,5,8,1,1,3,25,18.4,-12
24,2007-12-25,22-360,CLE,MIA,W (+14),38:36,9,19,.474,0,3,.000,7,11,.636,0,6,6,12,1,1,2,25,22.4,+18
25,2007-12-27,22-362,CLE,DAL,W (+7),36:19,9,21,.429,1,4,.250,5,10,.500,4,4,8,7,3,0,3,24,17.8,+5
26,2007-12-29,22-364,CLE,NOH,L (-10),42:21,8,21,.381,1,4,.250,4,6,.667,2,3,5,6,1,0,4,21,11.8,-18
27,2008-01-02,23-003,CLE,ATL,W (+4),40:05,13,22,.591,1,3,.333,9,11,.818,1,4,5,6,2,1,2,36,31.4,+7
28,2008-01-04,23-005,CLE,SAC,W (+4),45:21,7,18,.389,1,6,.167,9,12,.750,1,7,8,10,5,1,3,24,25.1,+7
29,2008-01-06,23-007,CLE,TOR,W (+3),45:44,14,29,.483,4,8,.500,7,12,.583,3,8,11,8,0,0,1,39,31.0,-1
30,2008-01-08,23-009,CLE,SEA,W (+16),35:10,8,18,.444,0,3,.000,6,6,1.000,2,6,8,3,2,0,4,22,15.1,+13
31,2008-01-09,23-010,CLE,ATL,L (-9),43:23,13,22,.591,0,4,.000,5,9,.556,3,7,10,6,3,1,3,31,27.1,-7
32,2008-01-11,23-012,CLE,CHA,W (+7),49:36,10,20,.500,2,7,.286,9,15,.600,5,14,19,8,4,3,8,31,28.8,-2
33,2008-01-15,23-016,CLE,MEM,W (+8),47:10,18,28,.643,6,12,.500,9,16,.563,3,5,8,9,3,1,4,51,45.0,+10
34,2008-01-17,23-018,CLE,SAS,W (+2),38:54,9,24,.375,1,5,.200,8,12,.667,3,6,9,7,0,2,3,27,19.0,-11
35,2008-01-21,23-022,CLE,MIA,W (+7),39:40,11,26,.423,1,4,.250,5,5,1.000,1,2,3,5,4,1,5,28,17.1,+12
36,2008-01-23,23-024,CLE,WAS,W (+36),31:08,7,13,.538,1,3,.333,8,9,.889,2,6,8,8,2,1,0,23,27.0,+31
37,2008-01-25,23-026,CLE,PHO,L (-2),39:26,14,30,.467,0,1,.000,8,10,.800,2,5,7,5,2,0,1,36,26.0,-12
38,2008-01-27,23-028,CLE,LAL,W (+3),44:08,16,32,.500,1,5,.200,8,12,.667,3,6,9,4,2,0,5,41,25.5,-3
39,2008-01-30,23-031,CLE,POR,W (+1),43:53,13,29,.448,3,6,.500,8,12,.667,2,12,14,4,2,2,4,37,26.3,+3
40,2008-02-02,23-034,CLE,LAC,W (+14),43:48,8,19,.421,1,4,.250,11,16,.688,0,11,11,7,2,1,3,28,23.0,+15
41,2008-02-05,23-037,CLE,BOS,W (+1),42:24,11,21,.524,4,8,.500,7,10,.700,1,8,9,12,5,2,7,33,30.4,+12
42,2008-02-07,23-039,CLE,HOU,L (-15),41:13,12,23,.522,2,5,.400,6,11,.545,1,6,7,6,2,2,3,32,25.8,-11
43,2008-02-08,23-040,CLE,ATL,W (+5),44:00,11,24,.458,0,3,.000,4,4,1.000,4,7,11,7,2,1,1,26,24.3,+5
44,2008-02-10,23-042,CLE,DEN,L (-30),32:36,11,23,.478,2,5,.400,6,6,1.000,1,4,5,3,2,0,5,30,18.9,-25
45,2008-02-11,23-043,CLE,ORL,W (+7),43:51,8,15,.533,1,2,.500,12,15,.800,1,6,7,10,3,1,5,29,27.5,+10
46,2008-02-13,23-045,CLE,SAS,L (-7),42:44,17,31,.548,1,5,.200,4,7,.571,2,4,6,9,0,1,3,39,27.9,-4
47,2008-02-19,23-051,CLE,HOU,L (-8),42:08,7,18,.389,4,7,.571,8,11,.727,2,11,13,11,2,0,5,26,23.6,-8
48,2008-02-20,23-052,CLE,IND,W (+9),43:14,11,22,.500,1,5,.200,8,12,.667,2,12,14,12,2,1,4,31,30.1,+14
49,2008-02-22,23-054,CLE,WAS,W (+1),44:32,11,20,.550,2,6,.333,9,14,.643,3,12,15,8,1,1,3,33,31.0,+2
50,2008-02-24,23-056,CLE,MEM,W (+20),39:02,10,17,.588,1,4,.250,4,5,.800,1,6,7,11,3,1,6,25,23.8,+19
51,2008-02-26,23-058,CLE,MIL,L (-3),37:50,16,24,.667,1,3,.333,2,5,.400,0,4,4,6,0,1,2,35,26.3,-2
52,2008-02-27,23-059,CLE,BOS,L (-5),39:00,7,24,.292,1,6,.167,11,15,.733,4,4,8,4,0,0,3,26,13.4,-13
53,2008-02-29,23-061,CLE,MIN,W (+8),43:35,11,22,.500,1,4,.250,7,9,.778,2,6,8,13,2,0,3,30,28.7,+12
54,2008-03-02,23-063,CLE,CHI,W (+9),39:51,15,29,.517,0,5,.000,7,8,.875,3,3,6,6,1,0,3,37,27.1,+21
55,2008-03-05,23-066,CLE,NYK,W (+14),43:50,16,30,.533,7,13,.538,11,16,.688,1,7,8,10,4,0,2,50,44.0,+11
56,2008-03-06,23-067,CLE,CHI,L (-11),37:55,13,27,.481,2,8,.250,11,12,.917,0,3,3,1,1,3,4,39,25.2,-21
57,2008-03-08,23-069,CLE,IND,W (+8),38:13,11,24,.458,5,8,.625,11,12,.917,4,7,11,4,1,2,2,38,32.5,+15
58,2008-03-10,23-071,CLE,POR,W (+8),43:41,7,18,.389,1,4,.250,9,13,.692,1,9,10,11,1,2,4,24,22.1,+10
59,2008-03-12,23-073,CLE,NJN,L (-5),45:41,12,23,.522,2,7,.286,16,23,.696,3,8,11,7,1,2,6,42,31.7,-4
